Day;BMI (uM);EF (V/m);Angle;Up_duration (s);Up_duration_norm;Down_duration (s);Down_duration_norm;Frequency (Hz);Frequency_norm;FR_up (a.u.);FR_up_norm
20210506;0;-3;0;0.348833103447939;0.907034058663863;6.00863693484812;1.09031964051995;0.337993351397776;0.937488490233718;1.84333433611786;1.51981501712047
20210506;0;3;0;0.254823692308104;0.662591266692744;3.47256387692869;0.630127038632791;0.522667366491178;1.44971680146923;1.65291206531668;1.36281331586246
20210506;0;0;45;0.402150707446883;1;2.71487631544896;1;0.451586686870418;1;1.89242877622240;1
20210506;0;-3;45;0.419492769230513;1.04312329050402;2.19915646153481;0.810039282091985;0.409520988558652;0.906849117711398;1.73219712757645;0.915330156326518
20210506;0;3;45;0.367226937481248;0.913157507076504;1.84824406309345;0.680783891544542;0.514727101606223;1.13981903490862;1.63689790479742;0.864972000724349
20210506;0;0;90;0.469096240437160;1;1.90292845901632;1;0.499847760509151;1;1.64032686619350;1
20210506;0;-3;90;0.523751583709229;1.11651200449003;1.51812401809660;0.797783022742412;0.549193880590051;1.09872229902688;1.40342587330253;0.855576959828308
20210506;0;3;90;0.196660343894749;0.419232402526777;2.81990204529432;1.48187496588916;0.485642073129815;0.971579971940125;1.67444852105818;1.02080174114557
20210506;0.800000000000000;0;0;0.139981643962854;1;7.80426500154811;1;0.157322749013060;1;2.28971027569605;1
20210506;0.800000000000000;-3;0;0.149633454545697;1.06895054458286;6.53811272728330;0.837761496564552;0.221106805186649;1.40543441157575;2.19809694701394;0.959989117551451
20210506;0.800000000000000;3;0;0.123391778652796;0.881485423085470;5.29747209470657;0.678791928984437;0.223176515296343;1.41859023374818;2.22039664727207;0.969728210088541
20210506;0.800000000000000;0;45;0.149476727272582;1;12.2589918181737;1;0.0989184481564599;1;2.31354294846956;1
20210506;0.800000000000000;-3;45;0.133510000000216;0.893182520358173;9.86583500001595;0.804783553684248;0.248798096736839;2.51518398613890;1.89364285314605;0.818503436211859
20210506;0.800000000000000;3;45;0.120607714284679;0.806866168970517;6.63497742858339;0.541233531027174;0.168008592580034;1.69845560369380;2.20271807585981;0.952097335092455
20210506;0.800000000000000;0;90;0.152307272727382;1;6.05885127272971;1;0.186655735419871;1;2.35282950975001;1
