external,coupling,seed,p1freq,p1mean,p2freq,p2mean,corr,pli
-1.0714285714285665e-05, 5.7142857142857136e-09, 100, 5.7, 0.12988467528831177, 5.5, 0.12298969252576869, 0.267011181471628, 0.36236824033940557
-1.0714285714285665e-05, 7.142857142857142e-09, 100, 5.8, 0.1328196679508301, 5.7, 0.12800467998830004, 0.34176297238438946, 0.4300615567683323
-1.0714285714285665e-05, 8.57142857142857e-09, 100, 6.0, 0.13422466443833891, 5.8, 0.13006967482581294, 0.4060902182402562, 0.4960439489097915
-1.0714285714285665e-05, 9.999999999999999e-09, 100, 6.0, 0.12984467538831154, 5.95, 0.12651968370079075, 0.424656557969226, 0.5410511300293598
2.1428571428571445e-05, 0.0, 100, 3.45, 0.0610723473191317, 3.25, 0.05924485188787028, -0.006203993789546836, 0.2847702947071635
2.1428571428571445e-05, 1.4285714285714284e-09, 100, 3.55, 0.06326484183789541, 3.3, 0.06047734880662799, 0.03078492707782754, 0.3132738997519742
2.1428571428571445e-05, 2.8571428571428568e-09, 100, 3.6, 0.06480983797540506, 3.4, 0.0634223414441464, 0.08686564049475776, 0.3250032664489563
2.1428571428571445e-05, 4.285714285714285e-09, 100, 3.6, 0.06625483436291409, 3.45, 0.06544733638165905, 0.12820372088603674, 0.3338067814065725
2.1428571428571445e-05, 5.7142857142857136e-09, 100, 3.6, 0.0677923305191737, 3.45, 0.06629233426916432, 0.18104692072482048, 0.35768365166456156
2.1428571428571445e-05, 7.142857142857142e-09, 100, 3.7, 0.07172482068794828, 3.75, 0.07175232061919845, 0.273020471578127, 0.4056287411934833
2.1428571428571445e-05, 8.57142857142857e-09, 100, 3.8, 0.07669980825047937, 3.85, 0.07524981187547031, 0.34328316531250497, 0.4510461845855829
2.1428571428571445e-05, 9.999999999999999e-09, 100, 3.95, 0.07817230456923857, 3.8, 0.07510231224421939, 0.3856056169675057, 0.4850411043759896
5.357142857142861e-05, 0.0, 100, 1.35, 0.017609955975110062, 0.9, 0.011987470031324922, 0.020881402897483615, 0.5221615969034968
5.357142857142861e-05, 1.4285714285714284e-09, 100, 1.35, 0.01805745485636286, 1.0, 0.012224969437576406, 0.024721815992149974, 0.523189442539755
5.357142857142861e-05, 2.8571428571428568e-09, 100, 1.4, 0.018557453606365983, 1.0, 0.013104967237581906, 0.026831502515593946, 0.5250605930211528
5.357142857142861e-05, 4.285714285714285e-09, 100, 1.4, 0.019217451956370108, 1.0, 0.013664965837585407, 0.05755775025378357, 0.5286862661398749
5.357142857142861e-05, 5.7142857142857136e-09, 100, 1.55, 0.02150244624388439, 1.1, 0.014547463631340922, 0.11298098823449351, 0.5312499050693039
5.357142857142861e-05, 7.142857142857142e-09, 100, 1.55, 0.02197744505638736, 1.05, 0.015292461768845578, 0.11777579351960013, 0.5299724760583058
5.357142857142861e-05, 8.57142857142857e-09, 100, 1.6, 0.02383494041264897, 1.2, 0.017637455906360233, 0.22647066758511025, 0.5581506709341115
5.357142857142861e-05, 9.999999999999999e-09, 100, 1.6, 0.02412493968765078, 1.35, 0.020322449193877015, 0.2810475141987337, 0.5753829719196262
8.571428571428578e-05, 0.0, 100, 0.05, 0.0006824982937542656, 0.05, 0.0007349981625045937, -0.0007087642870918082, 0.7566443896491832
8.571428571428578e-05, 1.4285714285714284e-09, 100, 0.05, 0.0007124982187544531, 0.05, 0.0007524981187547031, -0.0007327618278323039, 0.7560244849844137
8.571428571428578e-05, 2.8571428571428568e-09, 100, 0.05, 0.0007474981312546718, 0.05, 0.0007674980812547969, -0.0007580062853065914, 0.7551626975855601
8.571428571428578e-05, 4.285714285714285e-09, 100, 0.1, 0.0007774980562548593, 0.05, 0.0007849980375049063, -0.0007818498655364682, 0.7543071725939573
8.571428571428578e-05, 5.7142857142857136e-09, 100, 0.1, 0.0008299979250051875, 0.05, 0.000819997950005125, -0.0008256639569606589, 0.7536058802896148
8.571428571428578e-05, 7.142857142857142e-09, 100, 0.1, 0.0008574978562553594, 0.05, 0.0008949977625055937, -0.0008768154884421331, 0.753000901452018
8.571428571428578e-05, 8.57142857142857e-09, 100, 0.1, 0.000899997750005625, 0.05, 0.0009874975312561718, -0.0009436235683358849, 0.7524361933564567
8.571428571428578e-05, 9.999999999999999e-09, 100, 0.1, 0.000939997650005875, 0.05, 0.0010674973312566718, -0.0010027274976951302, 0.7518796701015444
0.00011785714285714288, 0.0, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.806220626178185
0.00011785714285714288, 1.4285714285714284e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8061361250268606
0.00011785714285714288, 2.8571428571428568e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8060482776049158
0.00011785714285714288, 4.285714285714285e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8059570799834975
0.00011785714285714288, 5.7142857142857136e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8058629990100031
0.00011785714285714288, 7.142857142857142e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8057652793345669
0.00011785714285714288, 8.57142857142857e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8056640453540928
0.00011785714285714288, 9.999999999999999e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8055595661432331
0.00015, 0.0, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8180762920822258
0.00015, 1.4285714285714284e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8180951885945501
0.00015, 2.8571428571428568e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8181139643562644
0.00015, 4.285714285714285e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8181326331185794
0.00015, 5.7142857142857136e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8181511392437442
0.00015, 7.142857142857142e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8181695054699262
0.00015, 8.57142857142857e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8181878483772718
0.00015, 9.999999999999999e-09, 100, 0.0, 0.0, 0.0, 0.0, nan, 0.8182061249261912
