beta,seed,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 1000, 0.9411764705882353, 100, 0, 0.3975
5.0000000000000004e-08, 1000, 1.0084033613445378, 100, 0, 0.4
5.0000000000000004e-08, 1000, 1.0756302521008403, 100, 0, 0.38
5.0000000000000004e-08, 1000, 1.1428571428571428, 100, 0, 0.4075
5.0000000000000004e-08, 1000, 1.2100840336134453, 100, 0, 0.3775
5.0000000000000004e-08, 1000, 1.2773109243697478, 100, 0, 0.415
5.0000000000000004e-08, 1000, 1.3445378151260503, 100, 0, 0.42
5.0000000000000004e-08, 1000, 1.4117647058823528, 100, 0, 0.405
5.0000000000000004e-08, 1000, 1.4789915966386553, 100, 0, 0.385
5.0000000000000004e-08, 1000, 1.5462184873949578, 100, 0, 0.4025
5.0000000000000004e-08, 1000, 1.6134453781512605, 100, 0, 0.3925
5.0000000000000004e-08, 1000, 1.680672268907563, 100, 0, 0.4125
5.0000000000000004e-08, 1000, 1.7478991596638656, 100, 0, 0.415
5.0000000000000004e-08, 1000, 1.815126050420168, 100, 0, 0.395
5.0000000000000004e-08, 1000, 1.8823529411764706, 100, 0, 0.395
